Location,Category,Item_ID,Parent_ID,Name,Type,UOM,Unit_Rate_USD,Labor_Rate_USD,Material_Rate_USD,CSI_Title
"Lane County, Oregon",Electrical > Wiring > Outdoor Electrical Wires (UF-B),f1af724e-8177-4996-b41d-abc2b604f622,N/A (Root),"1,000' 12/3 Solid UF-B Cable",MATERIAL,LF,4.49,58.83,1.36,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),f9a8e3a0-308d-4b55-89c6-dacb52bc6cb2,N/A (Root),"1,000' 14/2 Solid CU NM-B W/G Wire",MATERIAL,LF,3.44,58.83,0.31,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Outdoor Electrical Wires (UF-B),f6a688f8-9dad-44a3-80c9-eedb5b967d6c,N/A (Root),"1,000' 14/2 Solid UF-B Cable",MATERIAL,LF,3.84,58.83,0.71,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),ba6e480f-3ecf-411b-a9fd-ee8138a203fa,N/A (Root),"1,000' 14/3 Solid CU NM-B W/G Wire",MATERIAL,LF,3.58,58.83,0.45,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,a9a1ecfb-74e0-441e-893f-41e91cfc640b,N/A (Root),"1,000' 18 RG6 Dual Shield CU CATV CM/CL2 Coaxial Cable",MATERIAL,LF,1.1,58.83,0.08,Communications Horizontal Cabling
"Lane County, Oregon",Sitework > Landscaping > Irrigation,9152678b-6dc5-4249-904a-33b8cc78ce43,N/A (Root),"1,000' 18/2 Solid UL Sprinkler System Wire",MATERIAL,LF,0.83,58.83,0.2,Planting Irrigation
"Lane County, Oregon",Electrical > Wiring > Service Entrance Wires,f0fdb429-45d4-44a8-afe0-2733f1bc0181,N/A (Root),"1,000' 2-2-2 Stranded Al URD Cable",MATERIAL,LF,4.39,58.83,1.26,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Service Entrance Wires,8135ae06-f51b-45c1-8a30-0c6358d13168,N/A (Root),"1,000' 2-2-2-4 Stranded Al URD Cable",MATERIAL,LF,6.18,58.83,3.05,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Low Voltage > Data Cables,b6f52917-fd79-4087-8a38-58d60073db71,N/A (Root),"1,000' 23 AWG 4-Pair UTP Cat6 Data Cable",MATERIAL,LF,1.18,58.83,0.16,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Data Cables,8498d012-5b78-4c01-beb2-1195eeaeaa49,N/A (Root),"1,000' 23-4 Cat6 Plenum Twisted Pair Cable",MATERIAL,LF,1.26,58.83,0.24,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Data Cables,cc4b5d6e-ee84-4141-9a44-8925ac80dc39,N/A (Root),"1,000' 23-Gauge/8-Conductors Solid Unshielded Twisted Pair Cat6 Cable",MATERIAL,LF,1.17,58.83,0.15,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Data Cables,e5ca17a7-22aa-4e2a-8ef0-3daa8cde0763,N/A (Root),"1,000' 24/8 Cat5E Helix/Hi-Temp Twisted Pair Cable",MATERIAL,LF,1.12,58.83,0.1,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Wiring > Building Wires (THHN),fb0f8d40-3914-4e23-ad36-f050cdcc05ed,N/A (Root),"1,000' 3/0 Stranded CU THHN Wire",MATERIAL,LF,8.83,58.83,5.7,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Service Entrance Wires,dfbb6caf-f471-49bf-a2c6-ba8d57b46777,N/A (Root),"1,000' 4/0-4/0-2/0 Stranded Al URD Cable",MATERIAL,LF,5.88,58.83,2.75,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Wiring > Building Wires (NM-B),a57797e6-360d-4e9d-8769-b6e4f795add9,N/A (Root),"1,000' 8/3 Stranded CU NM-B W/G Wire",MATERIAL,LF,6.31,58.83,3.18,Common Work Results for Electrical
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,c92331dc-0d31-42f7-a71e-e70f91537631,N/A (Root),"1,000' Dual Shield Cm Coaxial Cable",MATERIAL,LF,1.08,58.83,0.06,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,d2340b35-2151-4f44-b219-3183f369cb2c,N/A (Root),"1,000' Pull-Pack Rg 6U 18 AWG Coaxial Cable",MATERIAL,LF,1.08,58.83,0.06,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,e93881f2-e7c1-4237-bbcd-3032d298b0b2,N/A (Root),"1,000' Quad Shield CMR Coaxial Cable",MATERIAL,LF,1.1,58.83,0.08,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,d0a120f9-7224-4713-9742-fb2847cc8600,N/A (Root),"1,000' RG6 Quad Shield Coaxial Cable",MATERIAL,LF,1.38,58.83,0.36,Communications Horizontal Cabling
"Lane County, Oregon",Electrical > Low Voltage > Coaxial Wires,d2e8ba1c-3364-49e0-b917-bbd7c8a72267,N/A (Root),"1,000' RG6/U Dual Shield Coaxial Cable",MATERIAL,LF,1.35,58.83,0.33,Communications Horizontal Cabling
"Lane County, Oregon",HVAC > Heating > Boilers,90a81592-14a2-4941-b660-be2b089826dd,N/A (Root),"1,000,000 BTU Output Condensing Boiler",MATERIAL,EA,63222.69,43.11,52295.0,Heating Boilers
"Lane County, Oregon",HVAC > Heating > Boilers,9d2afe23-0ce8-41ef-bc5a-5467c7ae929a,N/A (Root),"1,200,000 BTU Output Condensing Boiler",MATERIAL,EA,76208.84,43.11,62850.0,Heating Boilers
"Lane County, Oregon",Sitework > Fences and Gates > Chain Link Fencing,bec37ac5-454c-4eba-89d7-751cb3c499cb,N/A (Root),"1,320' 15-1/2-Gauge 4-Point High-Tensile Cl3 Barbed Wire",MATERIAL,LF,0.52,31.2,0.11,Fences and Gates
"Lane County, Oregon",Sitework > Fences and Gates > Chain Link Fencing,de6c4ea6-29c1-4ceb-81b4-6732b15541cc,N/A (Root),"1,320' 15.5-Gauge 2-Point High-Tensile Barbed Wire",MATERIAL,LF,0.11,31.2,0.03,Fences and Gates
"Lane County, Oregon",Electrical > Power Distribution > Specialty Power,c4822a6b-bedd-41f2-9045-cd8e2abd44f4,N/A (Root),"1,700 Watt Step Up/Down Voltage Transformer",MATERIAL,EA,350.47,58.83,193.97,Low-Voltage Distribution Equipment
"Lane County, Oregon",Interior Finishes > Interior Trim > Baseboard,be8d4f0f-8eb3-4770-8a64-78fe35f36d0b,N/A (Root),"1-1/16"" X 1-1/16"" Solid Pine Quarter Round Molding",MATERIAL,LF,4.32,37.33,3.67,Millwork
